order_id,user_id,order_date,discount_shown,discount_amount,order_value,net_revenue,channel
O900001,U300000,2026-03-16,True,140.0,203.61,63.61,app
O900002,U300004,2026-03-10,True,135.83,194.05,58.21,app
O900003,U300005,2026-03-03,True,119.17,170.25,51.07,app
O900004,U300006,2026-03-04,False,0.0,256.8,256.8,app
O900005,U300007,2026-03-12,False,0.0,174.26,174.26,app
O900006,U300008,2026-03-26,False,0.0,328.41,328.41,app
O900007,U300010,2026-03-19,True,140.0,273.91,133.91,app
O900008,U300010,2026-03-18,True,140.0,255.17,115.17,app
O900009,U300012,2026-03-10,False,0.0,220.61,220.61,app
O900010,U300014,2026-03-09,False,0.0,193.19,193.19,app
O900011,U300015,2026-03-22,False,0.0,227.91,227.91,app
O900012,U300015,2026-03-22,False,0.0,276.44,276.44,app
O900013,U300016,2026-03-23,False,0.0,294.09,294.09,app
O900014,U300018,2026-03-04,True,121.06,172.95,51.88,app
O900015,U300019,2026-03-24,False,0.0,218.22,218.22,app
O900016,U300020,2026-03-20,False,0.0,223.48,223.48,app
O900017,U300022,2026-03-28,False,0.0,268.09,268.09,app
O900018,U300024,2026-03-13,False,0.0,138.27,138.27,app
O900019,U300025,2026-03-13,True,140.0,209.04,69.04,app
O900020,U300025,2026-03-08,True,140.0,209.31,69.31,app
O900021,U300031,2026-03-21,True,140.0,243.44,103.44,app
O900022,U300031,2026-03-29,True,115.46,164.94,49.48,
O900023,U300033,2026-03-15,True,140.0,206.17,66.17,web
O900024,U300036,2026-03-23,False,0.0,201.33,201.33,app
O900025,U300036,2026-03-10,False,0.0,238.28,238.28,app
O900026,U300039,2026-03-19,True,140.0,282.15,142.15,app
O900027,U300042,2026-03-22,False,0.0,99.0,99.0,app
O900028,U300045,2026-03-12,False,0.0,264.6,264.6,app
O900029,U300046,2026-03-25,False,0.0,258.41,258.41,app
O900030,U300051,2026-03-17,True,140.0,256.84,116.84,app
O900031,U300052,2026-03-12,True,140.0,309.63,169.63,app
O900032,U300055,2026-03-11,True,118.51,169.31,50.79,app
O900033,U300055,2026-03-06,True,140.0,251.29,111.29,app
O900034,U300056,2026-03-27,False,0.0,251.78,251.78,app
